# # Converted from R03.dat: 2θ (λ=0.25995 Å) → Q → 2θ (λ=1.54 Å)
 6.383756  0.000084  0.000689
 6.420801  0.000085  0.000689
 6.457847  0.000085  0.000687
 6.494893  0.000084  0.000683
 6.531940  0.000084  0.000679
 6.568987  0.000084  0.000678
 6.606035  0.000084  0.000676
 6.643084  0.000083  0.000673
 6.680133  0.000083  0.000671
 6.717184  0.000084  0.000670
 6.754235  0.000084  0.000667
 6.791286  0.000084  0.000666
 6.828338  0.000084  0.000664
 6.865391  0.000084  0.000663
 6.902445  0.000084  0.000661
 6.939499  0.000083  0.000658
 6.976554  0.000083  0.000656
 7.013610  0.000083  0.000655
 7.050666  0.000083  0.000653
 7.087724  0.000083  0.000650
 7.124782  0.000083  0.000650
 7.161840  0.000083  0.000647
 7.198899  0.000083  0.000647
 7.235960  0.000084  0.000645
 7.273020  0.000084  0.000646
 7.310082  0.000084  0.000644
 7.347144  0.000084  0.000642
 7.384207  0.000084  0.000640
 7.421271  0.000083  0.000637
 7.458336  0.000083  0.000636
 7.495401  0.000083  0.000632
 7.532467  0.000083  0.000631
 7.569534  0.000083  0.000629
 7.606602  0.000083  0.000629
 7.643670  0.000083  0.000628
 7.680739  0.000083  0.000627
 7.717809  0.000085  0.000632
 7.754880  0.000086  0.000634
 7.791951  0.000087  0.000636
 7.829024  0.000085  0.000626
 7.866097  0.000083  0.000619
 7.903171  0.000083  0.000616
 7.940245  0.000082  0.000614
 7.977321  0.000082  0.000612
 8.014397  0.000082  0.000610
 8.051474  0.000082  0.000610
 8.088552  0.000083  0.000608
 8.125631  0.000083  0.000608
 8.162711  0.000083  0.000606
 8.199791  0.000083  0.000605
 8.236873  0.000083  0.000605
 8.273955  0.000083  0.000603
 8.311038  0.000082  0.000601
 8.348122  0.000082  0.000598
 8.385206  0.000083  0.000599
 8.422292  0.000083  0.000598
 8.459378  0.000084  0.000602
 8.496466  0.000089  0.000616
 8.533554  0.000097  0.000643
 8.570643  0.000103  0.000660
 8.607733  0.000098  0.000644
 8.644823  0.000090  0.000617
 8.681915  0.000085  0.000597
 8.719007  0.000084  0.000591
 8.756101  0.000083  0.000589
 8.793195  0.000083  0.000587
 8.830290  0.000083  0.000584
 8.867386  0.000083  0.000583
 8.904483  0.000083  0.000582
 8.941581  0.000083  0.000583
 8.978680  0.000085  0.000587
 9.015780  0.000086  0.000589
 9.052881  0.000086  0.000588
 9.089982  0.000085  0.000583
 9.127085  0.000083  0.000577
 9.164188  0.000083  0.000574
 9.201293  0.000083  0.000572
 9.238398  0.000083  0.000571
 9.275504  0.000083  0.000571
 9.312611  0.000083  0.000571
 9.349720  0.000083  0.000571
 9.386829  0.000084  0.000570
